Branch,From,To,Year,Number of Delays
Ronk. (greenpt.),Hunterspoint Ave.,Ronkonkoma Station,2017,23
Ronk. (greenpt.),Penn Station,Ronkonkoma Station,2017,1041
Ronk. (greenpt.),Penn Station,Farmingdale Station,2017,74
Ronk. (greenpt.),Penn Station,Central Islip Station,2017,8
Ronk. (greenpt.),Penn Station,Brentwood Station,2017,29
Ronk. (greenpt.),Riverhead Station,Ronkonkoma Station,2017,10
Ronk. (greenpt.),Ronkonkoma Station,Yaphank Station,2017,20
Ronk. (greenpt.),Ronkonkoma Station,Riverhead Station,2017,20
Ronk. (greenpt.),Ronkonkoma Station,Penn Station,2017,1329
Ronk. (greenpt.),Ronkonkoma Station,Greenport Station,2017,115
Ronk. (greenpt.),Ronkonkoma Station,Atlantic Terminal,2017,44
Ronk. (greenpt.),Yaphank Station,Ronkonkoma Station,2017,1
West Hempstead,Atlantic Terminal,West Hempstead Station,2017,184
West Hempstead,Jamaica Station,West Hempstead Station,2017,17
West Hempstead,Jamaica Station,Atlantic Terminal,2017,44
West Hempstead,Valley Stream Station,West Hempstead Station,2017,101
West Hempstead,West Hempstead Station,Valley Stream Station,2017,19
West Hempstead,West Hempstead Station,Penn Station,2017,32
West Hempstead,West Hempstead Station,Jamaica Station,2017,14
West Hempstead,West Hempstead Station,Hunterspoint Ave.,2017,14
West Hempstead,West Hempstead Station,Atlantic Terminal,2017,80
