branch,hour,year,NR
Hunt. Hicks.,3,2011,15
Hunt. Hicks.,4,2011,12
Hunt. Hicks.,5,2011,78
Hunt. Hicks.,6,2011,102
Hunt. Hicks.,7,2011,117
Hunt. Hicks.,8,2011,154
Hunt. Hicks.,9,2011,33
Hunt. Hicks.,10,2011,58
Hunt. Hicks.,11,2011,58
Hunt. Hicks.,12,2011,51
Hunt. Hicks.,13,2011,42
Hunt. Hicks.,14,2011,101
Hunt. Hicks.,15,2011,102
Hunt. Hicks.,16,2011,92
Hunt. Hicks.,17,2011,323
Hunt. Hicks.,18,2011,271
Hunt. Hicks.,19,2011,171
Hunt. Hicks.,20,2011,94
Hunt. Hicks.,21,2011,71
Hunt. Hicks.,22,2011,44
Hunt. Hicks.,23,2011,50
Hunt. Hicks.,0,2012,13
Hunt. Hicks.,1,2012,17
Hunt. Hicks.,2,2012,6
Hunt. Hicks.,3,2012,11
Hunt. Hicks.,4,2012,8
Hunt. Hicks.,5,2012,66
Hunt. Hicks.,6,2012,85
Hunt. Hicks.,7,2012,121
Hunt. Hicks.,8,2012,137
Hunt. Hicks.,9,2012,26
Hunt. Hicks.,10,2012,43
Hunt. Hicks.,11,2012,65
Hunt. Hicks.,12,2012,37
Hunt. Hicks.,13,2012,42
Hunt. Hicks.,14,2012,83
Hunt. Hicks.,15,2012,70
Hunt. Hicks.,16,2012,117
Hunt. Hicks.,17,2012,286
Hunt. Hicks.,18,2012,185
Hunt. Hicks.,19,2012,126
Hunt. Hicks.,20,2012,101
Hunt. Hicks.,21,2012,53
Hunt. Hicks.,22,2012,47
Hunt. Hicks.,23,2012,57
Hunt. Hicks.,0,2013,12
Hunt. Hicks.,1,2013,21
Hunt. Hicks.,2,2013,4
Hunt. Hicks.,3,2013,14
Hunt. Hicks.,4,2013,7
Hunt. Hicks.,5,2013,72
Hunt. Hicks.,6,2013,102
Hunt. Hicks.,7,2013,170
Hunt. Hicks.,8,2013,187
Hunt. Hicks.,9,2013,56
Hunt. Hicks.,10,2013,48
Hunt. Hicks.,11,2013,75
Hunt. Hicks.,12,2013,36
Hunt. Hicks.,13,2013,36
Hunt. Hicks.,14,2013,108
Hunt. Hicks.,15,2013,115
Hunt. Hicks.,16,2013,92
Hunt. Hicks.,17,2013,303
Hunt. Hicks.,18,2013,226
Hunt. Hicks.,19,2013,94
Hunt. Hicks.,20,2013,85
Hunt. Hicks.,21,2013,85
Hunt. Hicks.,22,2013,68
Hunt. Hicks.,23,2013,78
Hunt. Hicks.,0,2014,14
Hunt. Hicks.,1,2014,32
Hunt. Hicks.,2,2014,7
Hunt. Hicks.,3,2014,18
Hunt. Hicks.,4,2014,17
Hunt. Hicks.,5,2014,87
Hunt. Hicks.,6,2014,82
Hunt. Hicks.,7,2014,186
Hunt. Hicks.,8,2014,283
Hunt. Hicks.,9,2014,43
Hunt. Hicks.,10,2014,62
Hunt. Hicks.,11,2014,82
Hunt. Hicks.,12,2014,70
Hunt. Hicks.,13,2014,77
Hunt. Hicks.,14,2014,132
Hunt. Hicks.,15,2014,134
Hunt. Hicks.,16,2014,205
Hunt. Hicks.,17,2014,474
Hunt. Hicks.,18,2014,317
Hunt. Hicks.,19,2014,157
Hunt. Hicks.,20,2014,151
Hunt. Hicks.,21,2014,121
Hunt. Hicks.,22,2014,98
Hunt. Hicks.,23,2014,141
Hunt. Hicks.,0,2015,38
Hunt. Hicks.,1,2015,55
Hunt. Hicks.,2,2015,5
Hunt. Hicks.,3,2015,24
Hunt. Hicks.,4,2015,12
Hunt. Hicks.,5,2015,119
Hunt. Hicks.,6,2015,145
Hunt. Hicks.,7,2015,222
Hunt. Hicks.,8,2015,253
Hunt. Hicks.,9,2015,75
Hunt. Hicks.,10,2015,98
Hunt. Hicks.,11,2015,120
Hunt. Hicks.,12,2015,123
Hunt. Hicks.,13,2015,141
Hunt. Hicks.,14,2015,159
Hunt. Hicks.,15,2015,156
Hunt. Hicks.,16,2015,161
Hunt. Hicks.,17,2015,437
Hunt. Hicks.,18,2015,324
Hunt. Hicks.,19,2015,154
Hunt. Hicks.,20,2015,119
Hunt. Hicks.,21,2015,131
Hunt. Hicks.,22,2015,92
Hunt. Hicks.,23,2015,123
Hunt. Hicks.,0,2016,20
Hunt. Hicks.,1,2016,53
Hunt. Hicks.,2,2016,4
Hunt. Hicks.,3,2016,30
Hunt. Hicks.,4,2016,10
Hunt. Hicks.,5,2016,100
Hunt. Hicks.,6,2016,93
Hunt. Hicks.,7,2016,149
Hunt. Hicks.,8,2016,211
Hunt. Hicks.,9,2016,82
Hunt. Hicks.,10,2016,95
Hunt. Hicks.,11,2016,78
Hunt. Hicks.,12,2016,76
Hunt. Hicks.,13,2016,75
Hunt. Hicks.,14,2016,120
Hunt. Hicks.,15,2016,104
Hunt. Hicks.,16,2016,158
Hunt. Hicks.,17,2016,268
Hunt. Hicks.,18,2016,224
Hunt. Hicks.,19,2016,118
Hunt. Hicks.,20,2016,133
Hunt. Hicks.,21,2016,117
Hunt. Hicks.,22,2016,102
Hunt. Hicks.,23,2016,115
Hunt. Hicks.,0,2017,26
Hunt. Hicks.,1,2017,45
Hunt. Hicks.,2,2017,6
Hunt. Hicks.,3,2017,30
Hunt. Hicks.,4,2017,4
Hunt. Hicks.,5,2017,84
Hunt. Hicks.,6,2017,122
Hunt. Hicks.,7,2017,147
Hunt. Hicks.,8,2017,208
Hunt. Hicks.,9,2017,32
Hunt. Hicks.,10,2017,59
Hunt. Hicks.,11,2017,68
Hunt. Hicks.,12,2017,72
Hunt. Hicks.,13,2017,75
Hunt. Hicks.,14,2017,106
Hunt. Hicks.,15,2017,129
Hunt. Hicks.,16,2017,192
Hunt. Hicks.,17,2017,398
Hunt. Hicks.,18,2017,302
Hunt. Hicks.,19,2017,166
Hunt. Hicks.,20,2017,103
Hunt. Hicks.,21,2017,136
Hunt. Hicks.,22,2017,100
Hunt. Hicks.,23,2017,103
Hunt. Hicks.,0,2018,16
Hunt. Hicks.,1,2018,22
Hunt. Hicks.,2,2018,9
Hunt. Hicks.,3,2018,11
Hunt. Hicks.,4,2018,
Hunt. Hicks.,5,2018,55
Hunt. Hicks.,6,2018,95
Hunt. Hicks.,7,2018,104
Hunt. Hicks.,8,2018,103
Hunt. Hicks.,9,2018,20
Hunt. Hicks.,10,2018,19
Hunt. Hicks.,11,2018,42
Hunt. Hicks.,12,2018,37
